Cód,Materia,Primer llamado,Hora
25.24,Laboratorio de Electrónica 3,"jueves, 18 de febrero de 2027",18:00
25.26,Transmisión de la Información,"martes, 23 de febrero de 2027",18:00
25.27,Sistemas Embebidos,"lunes, 22 de febrero de 2027",17:00
25.28,Electrónica IV,"viernes, 19 de febrero de 2027",14:00
25.30,Electrónica V,"martes, 23 de febrero de 2027",13:00
25.31,Proyectos Electrónicos,"jueves, 11 de febrero de 2027",19:00
25.43,Laboratorio de Procesamiento de Señales,"martes, 16 de febrero de 2027",16:00
25.53,Señales Aleatorias,"jueves, 18 de febrero de 2027",15:00
25.55,Microelectrónica,"miércoles, 17 de febrero de 2027",19:00
25.62,Electrónica Aeroespacial,"martes, 23 de febrero de 2027",15:00
25.63,Redes Neuronales,"miércoles, 17 de febrero de 2027",10:00
25.66,Acústica para Ingenieros,"jueves, 4 de febrero de 2027",16:00
25.74,Verificación de Sistemas Digitales,"lunes, 15 de febrero de 2027",19:00
25.87,Redes Neuronales II,"viernes, 12 de febrero de 2027",13:00
25.88,Redes Neuronales III,"viernes, 19 de febrero de 2027",13:00
25.90,Sistemas de energía espaciales,"miércoles, 3 de febrero de 2027",16:00
30.01,Mecánica y Mecanismos,"lunes, 22 de febrero de 2027",16:00
30.03,Instalaciones Térmicas,"jueves, 11 de febrero de 2027",16:00
30.06,Motores de Combustión Interna,"miércoles, 17 de febrero de 2027",13:00
30.07,Elementos Finitos I,"martes, 23 de febrero de 2027",14:00
30.09,Motores de Combustión Interna,"miércoles, 17 de febrero de 2027",13:00
30.12,Diseño Mecánico Avanzado,"martes, 16 de febrero de 2027",16:00
30.14,Mecánica de Fluidos Computacional,"jueves, 11 de febrero de 2027",13:00
30.19,Introducción a la Dinámica del Autómovil,"viernes, 19 de febrero de 2027",16:00
30.20,Dinámica del Autómovil Avanzada,"viernes, 19 de febrero de 2027",16:00
30.22,Proceso de Combustión en Motores de Combustión Interna,"viernes, 12 de febrero de 2027",19:00
30.23,Mantenimiento Industrial,"lunes, 22 de febrero de 2027",15:00
30.24,Metalurgia Física I,"lunes, 22 de febrero de 2027",19:00
30.25,Ciencia de Materiales II,"viernes, 5 de febrero de 2027",13:00
30.26,Ciencia de Materiales I,"jueves, 4 de febrero de 2027",8:00
30.28,Accionamientos Industriales,"viernes, 12 de febrero de 2027",8:00
30.32,Termodinámica y sus aplicaciones,"jueves, 11 de febrero de 2027",16:00
30.36,Diseño de Motores de Combustión Interna,"viernes, 12 de febrero de 2027",19:00
30.37,Diseño de Motores de Combustión Interna,"lunes, 15 de febrero de 2027",16:00
30.38,Dinámica del Automóvil,"viernes, 19 de febrero de 2027",16:00
30.39,Dinámica del Automóvil,"viernes, 19 de febrero de 2027",16:00
30.40,Sistemas Mecatrónicos del Autómovil,"jueves, 18 de febrero de 2027",19:00
30.41,Diseño Mecánico I,"jueves, 11 de febrero de 2027",13:00
30.42,Diseño Mecánico II,"jueves, 11 de febrero de 2027",18:00
30.43,Diseño Mecánico III A,"viernes, 12 de febrero de 2027",9:00
30.44,Diseño Mecánico III B,"jueves, 11 de febrero de 2027",13:00
30.45,Diseño Mecánico IV,"viernes, 19 de febrero de 2027",11:00
30.46,Laboratorio de Diseño Mecánico,"viernes, 12 de febrero de 2027",9:00
30.47,Termofluidos I,"jueves, 18 de febrero de 2027",16:00
30.48,Termofluidos II,"lunes, 15 de febrero de 2027",16:00
