Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
23.16,Sistemas de Control,"jueves, 10 de diciembre de 2026",9:00,"jueves, 17 de diciembre de 2026",9:00
23.17,Electrónica e Instrumentación,"miércoles, 2 de diciembre de 2026",19:00,"miércoles, 9 de diciembre de 2026",19:00
23.18,Electrónica e Instrumentación,"lunes, 14 de diciembre de 2026",16:00,"lunes, 21 de diciembre de 2026",16:00
25.01,Fundamentos de Electrónica,"martes, 1 de diciembre de 2026",8:00,"martes, 15 de diciembre de 2026",8:00
25.02,Programación I,"miércoles, 2 de diciembre de 2026",11:00,"miércoles, 9 de diciembre de 2026",11:00
25.03,Algoritmos y Estructuras de Datos,"viernes, 4 de diciembre de 2026",15:00,"viernes, 18 de diciembre de 2026",15:00
25.04,Computación Cuántica,"jueves, 3 de diciembre de 2026",16:00,"jueves, 10 de diciembre de 2026",16:00
25.10,Teoría de Circuitos 1,"viernes, 11 de diciembre de 2026",8:00,"viernes, 18 de diciembre de 2026",8:00
25.12,Tecnología de Materiales Electrónicos,"viernes, 11 de diciembre de 2026",10:00,"viernes, 18 de diciembre de 2026",10:00
25.13,Laboratorio de Electrónica 1,"viernes, 11 de diciembre de 2026",18:00,"viernes, 18 de diciembre de 2026",18:00
25.14,Teoría de Circuitos 2,"miércoles, 9 de diciembre de 2026",12:00,"martes, 15 de diciembre de 2026",12:00
25.15,Electrónica I,"jueves, 3 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
25.16,Laboratorio de Electrónica 2,"miércoles, 9 de diciembre de 2026",16:00,"martes, 15 de diciembre de 2026",16:00
25.17,Electrónica II,"lunes, 14 de diciembre de 2026",18:00,"lunes, 21 de diciembre de 2026",18:00
25.18,Física Electrónica,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
25.20,Análisis de Señales y Sistemas Digitales,"miércoles, 9 de diciembre de 2026",14:00,"miércoles, 23 de diciembre de 2026",14:00
25.21,Electrónica III,"miércoles, 9 de diciembre de 2026",19:00,"martes, 15 de diciembre de 2026",19:00
25.22,Electromagnetismo,"jueves, 3 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
25.23,Sistemas de control,"lunes, 14 de diciembre de 2026",17:00,"lunes, 21 de diciembre de 2026",17:00
25.24,Laboratorio de Electrónica 3,"miércoles, 9 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
25.26,Transmisión de la Información,"martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
25.27,Sistemas Embebidos,"lunes, 14 de diciembre de 2026",14:00,"lunes, 21 de diciembre de 2026",14:00
25.28,Electrónica IV,"viernes, 11 de diciembre de 2026",15:00,"viernes, 18 de diciembre de 2026",15:00
25.30,Electrónica V,"jueves, 10 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
25.31,Proyectos Electrónicos,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
25.43,Laboratorio de Procesamiento de Señales,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
25.53,Señales Aleatorias,"jueves, 10 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
25.55,Microelectrónica,"miércoles, 16 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
25.62,Electrónica Aeroespacial,"martes, 15 de diciembre de 2026",15:00,"martes, 22 de diciembre de 2026",15:00
25.63,Redes Neuronales,"miércoles, 9 de diciembre de 2026",10:00,"miércoles, 16 de diciembre de 2026",10:00
25.66,Acústica para Ingenieros,"jueves, 3 de diciembre de 2026",16:00,"jueves, 10 de diciembre de 2026",16:00
25.74,Verificación de Sistemas Digitales,"lunes, 7 de diciembre de 2026",19:00,"lunes, 14 de diciembre de 2026",19:00
25.87,Redes Neuronales II,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
25.88,Redes Neuronales III,"viernes, 4 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
25.90,Sistemas de energía espaciales,"miércoles, 2 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
30.01,Mecánica y Mecanismos,"lunes, 14 de diciembre de 2026",16:00,"lunes, 21 de diciembre de 2026",16:00
30.03,Instalaciones Térmicas,"jueves, 10 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
30.06,Motores de Combustión Interna,"miércoles, 9 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
30.07,Elementos Finitos I,"jueves, 10 de diciembre de 2026",14:00,"jueves, 17 de diciembre de 2026",14:00
30.09,Motores de Combustión Interna,"miércoles, 9 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
30.12,Diseño Mecánico Avanzado,"martes, 15 de diciembre de 2026",18:00,"martes, 22 de diciembre de 2026",18:00
30.14,Mecánica de Fluidos Computacional,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
30.19,Introducción a la Dinámica del Autómovil,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
30.20,Dinámica del Autómovil Avanzada,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
30.22,Proceso de Combustión en Motores de Combustión Interna,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
30.23,Mantenimiento Industrial,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
30.24,Metalurgia Física I,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
30.25,Ciencia de Materiales II,"viernes, 4 de diciembre de 2026",13:00,"viernes, 11 de diciembre de 2026",13:00
30.26,Ciencia de Materiales I,"jueves, 3 de diciembre de 2026",8:00,"martes, 15 de diciembre de 2026",8:00
30.28,Accionamientos Industriales,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
30.32,Termodinámica y sus aplicaciones,"jueves, 10 de diciembre de 2026",13:00,"jueves, 17 de diciembre de 2026",13:00
30.36,Diseño de Motores de Combustión Interna,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
30.37,Diseño de Motores de Combustión Interna,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
30.38,Dinámica del Automóvil,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
30.39,Dinámica del Automóvil,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
30.40,Sistemas Mecatrónicos del Autómovil,"jueves, 10 de diciembre de 2026",13:00,"jueves, 17 de diciembre de 2026",13:00
30.41,Diseño Mecánico I,"jueves, 3 de diciembre de 2026",9:00,"jueves, 17 de diciembre de 2026",9:00
30.42,Diseño Mecánico II,"jueves, 3 de diciembre de 2026",19:00,"miércoles, 16 de diciembre de 2026",19:00
30.43,Diseño Mecánico III A,"viernes, 11 de diciembre de 2026",9:00,"viernes, 18 de diciembre de 2026",9:00
30.44,Diseño Mecánico III B,"jueves, 10 de diciembre de 2026",11:00,"jueves, 17 de diciembre de 2026",13:00
30.45,Diseño Mecánico IV,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
30.46,Laboratorio de Diseño Mecánico,"viernes, 4 de diciembre de 2026",14:00,"viernes, 11 de diciembre de 2026",14:00
